fullname,shortname,path,k,b,mask,dot,unit,type,records
%d#堆-%d#组-主控电池容量,主控电池容量,/BMS数据块/%d/BCMU遥测信息/%d/主控电池容量,1,0,0x7fffffff,0,A.h,数字,1
%d#堆-%d#组-主控电池类型,主控电池类型,/BMS数据块/%d/BCMU遥测信息/%d/主控电池类型,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-协议号,协议号,/BMS数据块/%d/BCMU遥测信息/%d/协议号,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-协议版本,协议版本,/BMS数据块/%d/BCMU遥测信息/%d/协议版本,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-模块温度,模块温度,/BMS数据块/%d/BCMU遥测信息/%d/模块温度,1,0,0x7fffffff,0,℃,数字,1
%d#堆-%d#组-累计放电容量,累计放电容量,/BMS数据块/%d/BCMU遥测信息/%d/累计放电容量,1,0,0x7fffffff,0,A.h,数字,1
%d#堆-%d#组-累计充电容量,累计充电容量,/BMS数据块/%d/BCMU遥测信息/%d/累计充电容量,1,0,0x7fffffff,0,A.h,数字,1
%d#堆-%d#组-均衡控制开关,均衡控制开关,/BMS数据块/%d/BCMU遥测信息/%d/均衡控制开关,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-绝缘电阻R+,绝缘电阻R+,/BMS数据块/%d/BCMU遥测信息/%d/绝缘电阻R+,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-绝缘电阻R-,绝缘电阻R-,/BMS数据块/%d/BCMU遥测信息/%d/绝缘电阻R-,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-机器型号,机器型号,/BMS数据块/%d/BCMU遥测信息/%d/机器型号,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-机器版本号,机器版本号,/BMS数据块/%d/BCMU遥测信息/%d/机器版本号,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-放电次数,放电次数,/BMS数据块/%d/BCMU遥测信息/%d/放电次数,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-额定容量,额定容量,/BMS数据块/%d/BCMU遥测信息/%d/额定容量,1,0,0x7fffffff,0,A.h,数字,1
%d#堆-%d#组-电池容量,电池容量,/BMS数据块/%d/BCMU遥测信息/%d/电池容量,1,0,0x7fffffff,0,A.h,数字,1
%d#堆-%d#组-电池类型,电池类型,/BMS数据块/%d/BCMU遥测信息/%d/电池类型,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-电池节数,电池节数,/BMS数据块/%d/BCMU遥测信息/%d/电池节数,1,0,0x7fffffff,0,节,数字,1
%d#堆-%d#组-充电次数,充电次数,/BMS数据块/%d/BCMU遥测信息/%d/充电次数,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-SN序列号,SN序列号,/BMS数据块/%d/BCMU遥测信息/%d/SN序列号,1,0,0x7fffffff,0,,数字,1
